name,num_neighbours,num_edges,country_code,min_e_distance,avg_e_distance,max_e_distance,sum_e_distance,median_e_distance,num_true_e_watercrossing,num_false_e_watercrossing,num_same_nb_country_code,num_0_nb_country_code,num_1_nb_country_code,num_2_nb_country_code,num_3_nb_country_code,num_4_nb_country_code,num_5_nb_country_code,num_6_nb_country_code,num_7_nb_country_code,num_8_nb_country_code,num_9_nb_country_code,num_10_nb_country_code,num_11_nb_country_code,num_12_nb_country_code,num_13_nb_country_code,num_14_nb_country_code,num_15_nb_country_code,num_16_nb_country_code,num_17_nb_country_code,num_18_nb_country_code,num_19_nb_country_code,num_20_nb_country_code,num_21_nb_country_code,num_22_nb_country_code,num_23_nb_country_code,num_24_nb_country_code,num_25_nb_country_code,num_26_nb_country_code,num_27_nb_country_code,num_28_nb_country_code,num_29_nb_country_code,num_30_nb_country_code,num_31_nb_country_code,num_32_nb_country_code,num_33_nb_country_code,num_34_nb_country_code,num_35_nb_country_code,num_36_nb_country_code,num_37_nb_country_code,num_38_nb_country_code,avg_country_code_num_neighbours,avg_country_code_num_edges,avg_country_code_min_e_distance,avg_country_code_avg_e_distance,avg_country_code_max_e_distance,avg_country_code_sum_e_distance,avg_country_code_median_e_distance,avg_country_code_num_true_e_watercrossing,avg_country_code_num_false_e_watercrossing,pagerank_score,betweenness_score,closeness_score,louvain_communityId,label_propagation_community,localClusteringCoefficient,embedding
Stranraer,2,2,GB,70,111.5,153,223,70,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,0.7020563980746003,109.30165293669353,0.06050824175824176,298,8,0.0,"[-0.04976877570152283, -0.9328479766845703, 0.11071593314409256, 1.0682103633880615, -0.18543165922164917, -0.3969928026199341, 0.28396522998809814, -0.14070656895637512, 0.011004827916622162, 0.26073482632637024]"
Belfast,5,6,GB,36,104.83333333333334,239,629,38,1,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,2.0256359206123857,12253.99821312029,0.06330842196033343,298,8,0.0,"[-0.31703808903694153, -1.0765217542648315, -0.23402583599090576, 0.7657274007797241, 0.3071926236152649, -0.6403981447219849, 0.30939817428588867, -0.19453608989715576, -0.016377020627260208, 0.39862775802612305]"
Londonderry,1,1,GB,115,115.0,115,115,115,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,0.434767391676701,0.0,0.05954311976209786,298,8,0.0,"[-0.41063976287841797, -1.0471014976501465, -0.36195334792137146, 0.7030370831489563, 0.3409654498100281, -0.570381224155426, 0.34406450390815735, -0.11476701498031616, -0.04843908175826073, 0.45573246479034424]"
Larne,2,3,GB,36,47.333333333333336,70,142,36,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,1.0157229942163912,149.10893550893553,0.05956727518593644,298,8,0.0,"[-0.25947368144989014, -1.047193169593811, -0.13448143005371094, 0.8846302032470703, 0.1993216872215271, -0.5589664578437805, 0.4253048896789551, -0.08028779178857803, 0.11778236925601959, 0.3608018755912781]"
Craigavon,1,1,GB,38,38.0,38,38,38,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,0.434767391676701,0.0,0.05954311976209786,298,8,0.0,"[-0.41063976287841797, -1.0471014976501465, -0.36195334792137146, 0.7030370831489563, 0.3409654498100281, -0.570381224155426, 0.34406450390815735, -0.11476701498031616, -0.04843908175826073, 0.45573246479034424]"
Glasgow,4,4,GB,40,124.0,239,496,75,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,1.3545238780767506,11549.85956312586,0.06452794257672306,298,8,0.0,"[-0.026567239314317703, -0.969431459903717, -0.1345422863960266, 0.9711376428604126, -0.5732553601264954, -0.32898834347724915, 0.02594265341758728, -0.19907067716121674, -0.34392857551574707, 0.13021305203437805]"
Liverpool,2,2,GB,55,159.5,264,319,55,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,0.71629700418661,5629.1742295820895,0.06538518628469646,361,8,0.0,"[0.11917437613010406, -0.5905784964561462, 0.3674275875091553, 0.5105812549591064, 0.2205088585615158, -1.1107813119888306, 0.18506596982479095, 0.030479848384857178, -0.1024869829416275, 0.4322708547115326]"
Fishguard,2,2,GB,113,116.0,119,232,113,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,0.7941482364544836,680.0766254632637,0.059919744269876896,361,8,0.0,"[0.6094380617141724, -0.18414722383022308, 0.7992936372756958, -0.16518454253673553, 0.03178166225552559, 0.4481332302093506, -0.9462277889251709, -0.74284827709198, 0.09814602881669998, 0.038879647850990295]"
Edinburgh,4,4,GB,68,257.0,702,1028,75,1,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,1.3519165256993178,16377.228423982875,0.0676599339528454,298,8,0.0,"[0.07493919134140015, -0.6305364370346069, -0.4259694218635559, 0.5660548210144043, -0.9870812296867371, 0.09760050475597382, 0.2242407202720642, 0.21736806631088257, -0.16138479113578796, 0.03140164911746979]"
Gretna,3,4,GB,16,81.75,153,327,16,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4347826086956523,2.5217391304347823,55.82608695652173,103.79818840579708,170.23913043478268,270.5652173913042,60.93478260869565,0.28260869565217395,2.2391304347826098,1.2637016153515828,968.1581551457401,0.06379897168513289,298,8,0.0,"[0.3001835346221924, -0.638312041759491, 0.41067934036254883, 0.9749513864517212, -0.6570382714271545, -0.023208774626255035, 0.029462546110153198, -0.17767134308815002, -0.15702132880687714, 0.1909961700439453]"
